district,total_general_votes,fraction_general_votes_to_gop,gop_votes,gop_candidate,dem_votes,dem_candidate,daves_score_r_plus,Native
HD-38,5894,1.0,5894,GREG OBLANDER,0,,60.0,0.0375
HD-26,5054,1.0,5054,RUSSEL MINER,0,,31.0,0.0387
HD-24,4019,1.0,4019,STEVE FITZPATRICK,0,,16.0,0.0733
HD-34,5554,1.0,5554,JERRY SCHILLINGER,0,,71.0,0.0231
HD-90,5381,1.0,5381,CURTIS J COCHRAN,0,,34.0,0.0419
SD-13,9676,1.0,9676,JOSH KASSMIER,0,,34.0,0.0519
HD-30,4281,1.0,4281,MORGAN THIEL,0,,62.0,0.0536
SD-15,9311,1.0,9311,GREGG HUNTER,0,,52.0,0.0592
HD-70,5384,1.0,5384,SHANNON MANESS,0,,34.0,0.0339
HD-33,4576,1.0,4576,BRANDON LER,0,,54.0,0.0376
SD-17,10096,1.0,10096,BOB PHALEN,0,,63.0,0.0304
HD-69,6222,1.0,6222,KEN WALSH,0,,37.0,0.0279
HD-56,6005,1.0,6005,FIONA NAVE,0,,54.0,0.0253
SD-35,11666,1.0,11666,TONY TEZAK,0,,35.0,0.0308
HD-29,5026,1.0,5026,VALERIE MOORE,0,,44.0,0.0646
HD-54,4247,1.0,4247,LEE DEMING,0,,32.0,0.0442
HD-44,4508,1.0,4508,KATIE ZOLNIKOV,0,,30.0,0.0445
HD-35,5924,0.8068872383524646,4780,GARY W. PARRY,1144,KIM KREIDER,59.0,0.062
HD-1,6929,0.7996824938663588,5541,NEIL DURAM,1388,DAKOTA V ADAMS,48.0,0.0374
HD-2,5845,0.7869974337040205,4600,TOM MILLETT,1245,BRAD SIMONIS,47.0,0.0396
HD-77,6950,0.7853237410071943,5458,JANE GILLETTE,1492,JEREMIAH DAWSON,48.0,0.0323
HD-76,6318,0.7845837290281735,4957,JOHN FITZPATRICK,0,,37.0,0.0631
HD-78,6234,0.7823227462303497,4877,RANDYN GREGG,1357,GLENN A LAMBERT,48.0,0.0245
SD-39,13198,0.7805728140627368,10302,E WYLIE GALT,2896,BRUCE SHULTZ,48.0,0.0283
HD-85,7408,0.771598272138229,5716,KATHY LOVE,1692,LAURA MAE JACKSON,45.0,0.0284
HD-28,5343,0.7707280553995882,4118,ERIC ALBUS,1225,BLAKE BORST,46.0,0.0556
HD-53,6374,0.7590210229055538,4838,NELLY NICOL,1536,ELLIE KERNS,42.0,0.0319
HD-11,6879,0.7579590056694286,5214,ED BYRNE,1665,JENNIFER ALLEN,46.0,0.0296
HD-25,5426,0.7534095097677848,4088,STEVE GIST,1338,JAMES RICKLEY,38.0,0.0647
HD-17,6384,0.7529761904761905,4807,ZACK WIRTH,1577,LEONARD BATES,38.0,0.0477
HD-14,6843,0.7501096010521701,5133,PAUL C FIELDER,1710,COLLEEN HINDS,48.0,0.052
HD-10,5803,0.7496122695157678,4350,TERRY FALK,1453,DEVIN T MARCONI,38.0,0.033
HD-87,7303,0.7472271669177051,5457,RON MARSHALL,1846,TAMMIE MILLIGAN,41.0,0.0279
HD-9,6448,0.7455024813895782,4807,STEVEN C KELLY,1641,JOANNE MORROW,42.0,0.0332
HD-40,4940,0.7447368421052631,3679,MIKE VINTON,1261,BOB AUCH,38.0,0.0623
HD-37,6298,0.7437281676722769,4684,SHANE KLAKKEN,1614,ANDREA PAYNE,48.0,0.0326
SD-5,12319,0.7433233216981898,9157,MATT REGIER,3162,LINK NEIMARK,40.0,0.0331
SD-27,11388,0.741657885493502,8446,VINCE RICCI,2942,KATHLEEN GILLULY,37.0,0.0382
HD-68,5783,0.7406190558533633,4283,CALEB HINKLE,1500,ALEXANDER COLAFRANCESCO,35.0,0.0244
HD-5,6325,0.7384980237154151,4671,BRAXTON MITCHELL,1654,STEVE PAUGH,42.0,0.039
HD-18,5423,0.7342799188640974,3982,LLEW JONES,1441,DAVID ARENDS,44.0,0.0735
SD-7,12743,0.7275366868084439,9271,GREG HERTZ,3472,CRAIG PABLO,32.0,0.1269
